Date,Open,High,Low,Close,Adj Close,Volume
2018-01-05,54.650002,54.910000,54.220001,54.599998,54.599998,10902200
2018-01-08,55.009998,56.450001,54.970001,55.919998,55.919998,12658000
2018-01-09,56.169998,56.180000,54.040001,54.860001,54.860001,13564900
2018-01-10,54.090000,54.110001,52.560001,53.299999,53.299999,14537200
2018-01-11,53.470001,53.529999,52.619999,53.200001,53.200001,10694200
2018-01-12,53.240002,54.000000,53.080002,53.450001,53.450001,9072300
2018-01-16,54.820000,55.400002,54.009998,54.500000,54.500000,14385000
2018-01-17,55.709999,57.520000,55.470001,57.340000,57.340000,17924200
2018-01-18,56.750000,58.630001,56.680000,57.400002,57.400002,17677700
2018-01-19,57.700001,57.720001,56.220001,57.400002,57.400002,11458700
2018-01-22,57.470001,57.529999,56.869999,57.459999,57.459999,11479800
2018-01-23,57.880001,58.180000,57.180000,57.790001,57.790001,8813500
2018-01-24,57.320000,57.419998,56.360001,56.880001,56.880001,11787300
2018-01-25,58.180000,58.730000,55.459999,55.759998,55.759998,15271900
2018-01-26,56.419998,57.119999,55.930000,57.119999,57.119999,11253500
2018-01-29,56.730000,56.919998,54.820000,55.330002,55.330002,12350600
2018-01-30,54.279999,54.330002,53.209999,53.380001,53.380001,14603700
2018-01-31,53.680000,54.139999,52.910000,53.630001,53.630001,13166800
2018-02-01,53.160000,54.180000,52.930000,53.279999,53.279999,9706000
2018-02-02,52.580002,52.790001,50.520000,50.680000,50.680000,16590000
